crop,soil_moisture,temperature,humidity,nitrogen,phosphorus,potassium,ph,action
Wheat,46.91,20.0,62.17,70.06,11.3,72.92,6.81,Fertilize
Cotton,24.8,34.27,50.66,54.16,29.58,65.36,6.85,Monitor
Potato,55.75,21.41,72.22,79.79,52.75,111.02,5.83,Optimal
Wheat,44.48,35.9,87.9,65.98,42.81,68.27,6.5,Apply Pesticide
Rice,93.1,24.99,95.5,85.27,53.38,90.51,6.33,Harvest
Wheat,42.39,18.53,55.73,16.5,40.77,68.91,6.49,Fertilize
Potato,57.19,20.76,74.66,78.66,53.82,114.59,5.9,Optimal
Cotton,39.55,44.8,83.8,58.71,36.98,64.72,6.92,Apply Pesticide
Cotton,40.4,42.9,72.7,55.7,37.53,71.63,7.1,Apply Pesticide
Potato,24.7,19.52,20.8,73.72,53.78,114.97,5.6,Irrigate
Soybean,53.67,26.13,60.55,42.91,7.3,83.82,6.57,Fertilize
Potato,52.7,19.15,65.62,71.89,50.62,104.58,6.05,Monitor
Cotton,68.0,31.91,82.8,67.02,37.04,75.35,6.63,Harvest
Sugarcane,63.53,32.37,75.96,17.7,46.3,100.79,6.9,Fertilize
Soybean,37.2,26.13,61.62,36.43,40.65,71.8,6.74,Monitor
Cotton,24.4,35.0,52.73,51.8,31.93,63.31,6.69,Monitor
Potato,56.81,35.6,85.6,82.6,55.86,120.72,5.8,Apply Pesticide
Rice,53.1,27.99,78.51,75.07,40.54,74.11,6.23,Monitor
Cotton,42.0,30.21,55.72,60.55,36.78,68.81,6.75,Optimal
Tomato,49.6,27.17,64.66,70.28,46.15,81.01,6.29,Monitor
Tomato,47.9,25.88,70.83,74.55,43.12,90.64,6.78,Monitor
Wheat,33.0,20.89,60.83,58.91,33.86,64.22,6.48,Monitor
Soybean,51.98,25.96,68.64,38.1,43.01,80.98,6.32,Optimal
Rice,66.48,45.1,96.5,75.69,47.67,77.08,6.04,Apply Pesticide
Maize,31.3,30.45,37.3,97.39,49.53,92.04,6.52,Irrigate
Wheat,37.6,21.76,61.19,61.3,34.34,68.63,6.93,Monitor
Rice,70.53,27.2,74.75,78.95,19.2,84.56,6.05,Fertilize
Cotton,28.9,30.21,53.01,56.0,33.35,69.16,7.22,Monitor
Soybean,17.2,27.31,20.4,38.0,48.41,74.71,6.58,Irrigate
Soybean,52.05,26.36,68.81,37.74,8.8,80.31,6.68,Fertilize
Maize,55.88,25.92,61.02,97.11,52.81,83.77,6.2,Optimal
Maize,54.84,26.77,69.53,88.96,25.2,84.05,6.46,Fertilize
Soybean,53.63,23.3,67.16,38.03,41.64,77.89,6.54,Optimal
Soybean,48.86,26.47,66.09,41.79,42.22,77.61,6.44,Optimal
Potato,57.59,18.73,70.94,76.46,30.3,122.24,5.89,Fertilize
Cotton,63.1,28.51,77.3,68.81,40.58,77.53,6.84,Harvest
Potato,55.98,31.7,94.5,85.47,56.28,122.88,5.8,Apply Pesticide
Wheat,47.81,38.9,82.2,67.67,38.2,73.63,6.59,Apply Pesticide
Cotton,37.04,31.06,55.09,13.2,32.48,69.69,7.16,Fertilize
Soybean,83.9,26.13,85.9,47.63,46.51,84.73,6.62,Harvest
Potato,52.6,21.73,62.74,73.93,53.2,106.24,5.48,Monitor
Sugarcane,69.02,45.7,91.7,105.03,42.88,111.96,6.73,Apply Pesticide
Wheat,47.3,32.4,93.5,75.51,39.03,65.85,6.56,Apply Pesticide
Wheat,45.2,18.79,60.39,71.25,43.19,75.32,7.0,Optimal
